Main Category,Subcategory,YouTube Shorts Links,Generated Caption,Channel Title,Captions,Sample Comments,posted,post id
Funny Memes and Jokes,Dad Jokes,https://www.youtube.com/watch?v=AZTfOpRqr2Y,"""Can we talk about how Dad jokes never get old? 😂 Which one made you chuckle the most? #DadJokes #Laughter""",mmmjoemele,Captions available,"Just said that better dad; Please don’t say any more of the Dad jokes; Oh Wait, I actually get it😂",False,
Funny Memes and Jokes,Dad Jokes,https://www.youtube.com/watch?v=sA36fWEDFIE,"""Just when you thought dad jokes couldn’t get worse... 💀😂 Which one made you cringe the most? #DadJokes #LOL""",Battle Royale Jokes,Captions available,Roof oof; Oof; I hate dad jokes,False,
Funny Memes and Jokes,Dad Jokes,https://www.youtube.com/watch?v=fl62EX03igc,"""Just when you think you can handle it... 😂 How long did you last? I barely made it! #DadJokes #Shorts""",mmmjoemele,Captions available,Hehehe she laughing; Make your dad say brain rot words😂😂😂😂😂😂; He’s the real life critic from Ratatouille,False,
Funny Memes and Jokes,Dad Jokes,https://www.youtube.com/watch?v=9PdMkDVlczA,"""These dad jokes are so bad, they're actually hilarious! 😂 Which one made you cringe the most? #DadJokes #LOL""",Battle Royale Jokes,Captions available,"Sound via @thelloydandmattshow<br>Check them out 🫶; Me: I donated 500 dollars to the church, “the prophecy god intended was true” they said; That last one<br><br>I&#39;m proud of being able to get that 😭",False,
Funny Memes and Jokes,Dad Jokes,https://www.youtube.com/watch?v=JXvXrBtdhIs,"""Just watched a minute of dad jokes and I’m still cringing 😂! What’s the best dad joke you’ve heard? #dadjokes #laugh""",Dock Tok,Captions available,The steak of ALL GOT ME!!😂😂 SO DUMB 😂😂; 😆😆😆😆🤣🤣🤣🤣🤣🤣; Talk about checking balance. I was in a grocery store and saw a broken jar of mayo on the floor. A woman came around to that aisle moving fast and I could not stop her before she slipped and fell on her keister. I was going to help her up but ....<br><br>My mother told me to stay away from fallen women.,False,
Funny Memes and Jokes,Parody & Satire,https://www.youtube.com/watch?v=oBUdEA_C4DE,"""Who knew grave cleaning could be this hilarious? 😂🧽 Did we actually miss a spot? Let’s find out! #comedy #parody""",Peter Nguyen,Captions available,I’m a cancer ♋️ can I get pinned I love your videos there so funny; Ops missed a spot YEET😂; Ops missed a spot YEET😂,False,
Funny Memes and Jokes,Parody & Satire,https://www.youtube.com/watch?v=jDkCrGWuQ-8,"""OMG, the scream at the end had me in stitches! 😂📚 Can we all relate to this? #TeacherLife #ComedyGold""",Peter Nguyen,Captions available,THE SCREAM LOLS; The scream at the end got me😂😂😂😂; The scream at the end got me rolling 🤣 😂😭,False,
Funny Memes and Jokes,Parody & Satire,https://www.youtube.com/watch?v=mvdppOQJ41g,"""Did Hurricane MiLTON just blow Florida away? 😂💨 This is too good! What’s your favorite moment? #TheManniiShow #ComedyGold""",The Mannii Show,Captions available,e all prepedFlorida: Who; why there a nose on the left???; I hope you people survived it but I didn’t need to evacuate bc IM IN SWEDEN 🇸🇪,False,
Funny Memes and Jokes,Parody & Satire,https://www.youtube.com/watch?v=nJgfUQUQ8Wg,"""Did that hot dog just get roasted? 😂🌭 Who else is here for the laughs? #HotDogHumor #ComedyGold""",King Hooker,Captions available,and that soldier was never seen again; Hahahahaha nice one; I think some people don&#39;t understand the word delicacy,False,
Funny Memes and Jokes,Parody & Satire,https://www.youtube.com/watch?v=E0fcoQDXobI,"""Just when you thought Fridays couldn’t get crazier! 😂 What’s your favorite moment from this epic spoof? #politics #memes""",KLABER MEMES,Captions available,Lmao,False,
DIY and Craft Projects,Home Decor Crafts,https://www.youtube.com/watch?v=4D-Xg9OHIy8,"""These Dollar Tree DIYs are total game-changers! 😍✨ Which one are you trying first? #DIYDecor #DollarTreeMagic""",Make It With Micah DIY Decor,Captions available,Me piace  me piace il vedio; Mi piace ❤❤; Wow! Che meraviglia ❤,False,
DIY and Craft Projects,Home Decor Crafts,https://www.youtube.com/watch?v=4PXvBD0Eoe8,"""OMG, I’m obsessed with these DIY ideas! 😍✨ Who else is ready to transform their space? Let’s get crafting! #RoomGoals #AestheticDiaries""",aesthetic diaries,Captions available,"Anyone else look up all of these diy vids, save them, and then never actually do them? 😭😭; Her: crafting<br>Me: wondering how she&#39;s gonna turn the lights off; If u guys dont have hot glue to stick the fluff, maybe try double sided tape😊 idk if it will work but im sure it will also those who want it should try it. <br><br>For me im gonna try this tmrw cuz like since its ramadan my family told me to make multiple aesthetic stuff i already made one and everyone is obsessed so now they told me to make another one. <br><br>This will come super cute my cousin tried it and it turned out super super cute its amzing thx smmmm❤😊<br><br>Hope this helped😊<br>byeeee ramadan kareem❤",False,
DIY and Craft Projects,Home Decor Crafts,https://www.youtube.com/watch?v=Ew_R_0xntVc,"""Just tried these mini crafts and I'm obsessed! 🎨✨ Which one is your favorite? Let me know! #DIY #CraftingFun""",Mukta Art & Craft,Captions available,I did that before; Good 👍👍; Wow so creative 👏,False,
DIY and Craft Projects,Home Decor Crafts,https://www.youtube.com/watch?v=72A0NkrSpdo,"""OMG, these mini paper crafts are adorable! 🥰✨ Which one are you trying first? Let’s get crafting! #DIY #MiniatureMagic""",Mukta Art & Craft,Captions available,"We can use it as a pencil topper; It would look cute if you keep as a jellyfish when it was facing down ❤; <a href=""https://www.youtube.com/shorts/zh8NUzl4wJY"">https://youtube.com/shorts/zh8NUzl4wJY?si=NtEqoIDNTUnLr8eX</a>",False,
DIY and Craft Projects,Home Decor Crafts,https://www.youtube.com/watch?v=jE5vrWsA2JE,"""OMG, this DIY hibiscus clip is adorable! 🌺✨ Who knew plastic spoons could look this cute? Can't wait to try it! #DIY #CraftGoals""",Mukta Art & Craft,Captions available,This is so so cute but Make pink  one I like pink one❤❤😢; わあ、これ大好き😯😯😯; How can you sleep with such intelligence? 😅,False,
DIY and Craft Projects,Upcycling Projects,https://www.youtube.com/watch?v=Dw6ZE-w-AyM,"""OMG, these thrift flips are next level! 😍✨ Which one was your fave? Let’s get creative! #upcycling #thrifted""",Anthony Gomes | DIY & Upcycle | Fashion & Beauty,Captions available,It&#39;s giving you&#39;re gifted ❤; Its soo good. 🌸; just wow💗💗,False,
DIY and Craft Projects,Upcycling Projects,https://www.youtube.com/watch?v=GcMwGK5R-Zs,"""Just turned a thrift store find into a fashion statement! ✨👚 What do you think of this upcycled look? #upcycling #fashion""",sewingwithBrie,Captions available,Love this fit 🔥🔥; Cuteee girly; Looks amazing.,False,
DIY and Craft Projects,Upcycling Projects,https://www.youtube.com/watch?v=Z5JrxEnXD5c,"""Who knew an old lid could turn into a stunning candle?! 🕯️✨ What will you upcycle next? #DIY #Upcycle""",Canterbury Cottage,Captions available,Love that.; Awesome...; That is so clever.  You think of things I never would.  Thanks for sharing.,False,
DIY and Craft Projects,Upcycling Projects,https://www.youtube.com/watch?v=LZl-wiDZ9vQ,"""Wow, this upcycling project transformed that old item into a stunning decor piece! 😍✨ What will you upcycle next? #DIY #HomeDecor""",Crafts Heaven,Captions available,,False,
DIY and Craft Projects,Upcycling Projects,https://www.youtube.com/watch?v=e9pfkD4jxqM,"""Turning my old coffee container into a chic cocktail glass? Yes, please! ☕️➡️🍸 Who else loves upcycling? #TrashToTreasure #DIY""",Our Upcycled Life,Captions available,awesome 👌; That was tooo easy😁 Pretty clever!; I convert old containers to gnome containers.   Lol,False,
DIY and Craft Projects,Handmade Jewelry Making,https://www.youtube.com/watch?v=kJB9Pog-mIU,"""Just made the cutest flower bracelet! 🌸✨ Who else is ready to get crafty? Check out the full tutorial! #DIYJewelry #Handmade""",V.Lavender,Captions available,"The tutorial is on my channel<br>Link: <a href=""https://www.youtube.com/watch?v=mAbTNiHXZsk"">https://youtu.be/mAbTNiHXZsk</a>; 😶😶😶😶 sooo beautiful 🤩 omgggggg lyyyyyysmmmmmm; Full video please",False,
DIY and Craft Projects,Handmade Jewelry Making,https://www.youtube.com/watch?v=C2GoHPmPclA,"""Just watched this stunning handmade necklace come to life! ✨💖 Who else is obsessed with DIY jewelry? #HandmadeJewelry #CraftingMagic""",Likayjewel,No captions available,"<a href=""https://likayjewel.com/products/pearl-drop-fringe-necklace"">https://likayjewel.com/products/pearl-drop-fringe-necklace</a>; Would you mind sharing your suppliers?; Chain name and size",False,
DIY and Craft Projects,Handmade Jewelry Making,https://www.youtube.com/watch?v=OEqnuH7AFu0,"""Wow, these DIY resin flower earrings are stunning! 🌸✨ Who else is ready to try making their own? #DIYJewelry #ResinArt""",Bina's art,No captions available,"Which kind of tape are u using?; Which liquid; Nice work.<br>Please,  what is the name of the liquid?",False,
DIY and Craft Projects,Handmade Jewelry Making,https://www.youtube.com/watch?v=zriWOS9FcTE,"""Just made my first bead bracelet and I'm obsessed! 😍✨ Who knew it could be this easy? Ready to try it? #DIYJewelry #BeadLove""",Useful & Easy,No captions available,Красота; Which yarn is this; So good❤,False,
DIY and Craft Projects,Handmade Jewelry Making,https://www.youtube.com/watch?v=W-47k8wBkW8,"""Just made these stunning DIY earrings in under 5 minutes! 🤩✨ Which color would you choose? #handmade #diyjewelry""",Creative Twinkal,Captions available,Iska price kya hain?; ❤❤😢🎉😮😊; Superb ❤❤❤❤❤,False,
DIY and Craft Projects,Seasonal Crafts and Decorations,https://www.youtube.com/watch?v=72A0NkrSpdo,"""OMG, these miniature crafts are adorable! 🥰✨ Which one will you try first? Let’s get crafting! #DIY #Art""",Mukta Art & Craft,Captions available,"We can use it as a pencil topper; It would look cute if you keep as a jellyfish when it was facing down ❤; <a href=""https://www.youtube.com/shorts/zh8NUzl4wJY"">https://youtube.com/shorts/zh8NUzl4wJY?si=NtEqoIDNTUnLr8eX</a>",False,
DIY and Craft Projects,Seasonal Crafts and Decorations,https://www.youtube.com/watch?v=p4pOunGkV0M,"""Just made this adorable 4 seasons tree! 🍂🌸 Which season is your favorite to craft? Let’s get creative! #DIYDazzle #CraftIdeas""",DIY Dazzle,Captions available,Good season 🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉; Good❤,False,
DIY and Craft Projects,Seasonal Crafts and Decorations,https://www.youtube.com/watch?v=Ew_R_0xntVc,"""Just tried these adorable mini crafts and I'm obsessed! 😍✂️ Which one is your fave? Let's get crafty! #DIY #CraftGoals""",Mukta Art & Craft,Captions available,I did that before; Good 👍👍; Wow so creative 👏,False,
DIY and Craft Projects,Seasonal Crafts and Decorations,https://www.youtube.com/watch?v=qm70PEcJM1Q,"""Just watched this amazing seasonal craft video! 🌸🍂 Which season's art are you excited to try? #DIY #Crafts""",Calligraphy By Iqra,No captions available,💜👍,False,
DIY and Craft Projects,Seasonal Crafts and Decorations,https://www.youtube.com/watch?v=jDIItecWPBA,"""Just made the cutest holiday decor with styrofoam circles! 🎄✨ Who else is ready to get crafty this season? #DIY #ChristmasMagic""",Nick’s Seasonal Décor,Captions available,"Shop all products and supplies at <a href=""http://nicksseasonaldecor.com/"">nicksseasonaldecor.com</a>; Ehh I would have spruced the white up a little on this one.; Great idea!!",False,
Video Game Reviews and Tips,Latest Game Releases Reviews,https://www.youtube.com/watch?v=iqPwI0ju4W8,"""Who would you choose? 🎮❤️ PS5 or your partner?! This one had me laughing! 😂 #TheJTCouple #GamingVsLove""",TheJTCouple,Captions available,"She actually dont look that good😂😂😂; Bro take the ps5😂; If it was an Xbox instead of a PlayStation, my final answer would be Xbox all day",False,
Video Game Reviews and Tips,Latest Game Releases Reviews,https://www.youtube.com/watch?v=WWVmN9NtDIo,"""Whoa, what’s Asmongold getting into this time? 🤔🔥 This looks wild! Have you seen it yet? #asmongold #gaming""",Asmongold Shorts,No captions available,Literally just the Elin race from TERA online..; Se ve chido el juego😂; 😂😂😂,False,
Video Game Reviews and Tips,Latest Game Releases Reviews,https://www.youtube.com/watch?v=t5r0VgFhp0M,"""Game night just got a glow-up! 🎲✨ What's your go-to board game? Let’s hear your faves! #GameNight #LandOfBoggs""",The Land Of Boggs,Captions available,🇨🇬⚔️; Aaaaaaa; 😂😂😂😂😂😂😂😂😂,False,
Video Game Reviews and Tips,Latest Game Releases Reviews,https://www.youtube.com/watch?v=6-nDx3AVCDQ,"""Whoa, did you see that epic twist in the SQUID GAMES? 😱👧 What's your favorite moment? #Gaming #Shorts""",Saksham Magic,Captions available,Qsrffyhhh679qvbhbfghhg😂gdghmgnhmjmjn; 😂😂😂; 𝐾𝑞𝑥 𝑗𝑎𝑐𝑛𝑖𝑤𝑣🤣🤣🤣𝑘𝑞 𝑘𝑘𝑤 𝑛𝑘𝑤 kowvnkwcn,False,
Video Game Reviews and Tips,Latest Game Releases Reviews,https://www.youtube.com/watch?v=VOtkmnEpKAU,"""Just discovered the coolest mobile games! 🎮🔥 Which one are you playing right now? #gaming #mobilegames""",TheLastDut,Captions available,"Follow Us On YouTube
<br><a href=""https://www.youtube.com/@gamooze"">https://www.youtube.com/@gamooze
</a><br><a href=""https://www.youtube.com/@gamani158"">https://www.youtube.com/@gamani158
</a><br><a href=""https://www.youtube.com/@bogani_game"">https://www.youtube.com/@bogani_game
</a><br><a href=""https://www.youtube.com/@nxt_gamer176"">https://www.youtube.com/@nxt_gamer176</a>; Bro, THERES NO WAY THIS GAME CAN BEAT PLANTS VS ZOMBIES BRO; পারবে না",False,
Video Game Reviews and Tips,Strategy & Walkthrough Guides,https://www.youtube.com/watch?v=R6XKXyVlFhg,"""Did you know you can make your YouTube Shorts longer than 15 seconds? 🤯📹 Let’s unlock your channel’s potential together! #YouTubeTips #GrowYourChannel""",vidIQ,Captions available,"👉 Grow your YouTube channel FASTER with vidIQ: <a href=""http://vidiq.com/install"">vidiq.com/install</a>; It&#39;s 3 minutes now🫠; I want 1hour 2hours",False,
Video Game Reviews and Tips,Strategy & Walkthrough Guides,https://www.youtube.com/watch?v=riIsPoxrnbI,"""Just leveled up my YouTube Shorts game! 🎥✨ What gear do you use for your shoots? #YouTubeShorts #Filmmaking""",Anthony Gugliotta,Captions available,👍; Please Suggest me good settings for 50 mm camera lens for indoor video shoot; I don’t understand these camera shoot 4K and higher frames I don’t get why anyone would choose to shoot at 24fp please explain this,False,
Video Game Reviews and Tips,Strategy & Walkthrough Guides,https://www.youtube.com/watch?v=XzKHvOVIviE,"""OMG, this Minecraft RTX animation is next level! 😱✨ How do they even make it look so good? #Minecraft #Shorts""",Jake Fellman,Captions available,please SUBSCRIBE to support my channel!!; Why tf does it ll that😭; WHY DOES IT LOOK LIKE A SHLONG 😭,False,
Video Game Reviews and Tips,Strategy & Walkthrough Guides,https://www.youtube.com/watch?v=ehWnbW20mLk,"""OMG, the Squad Game Doll vs Trampoline showdown is epic! 😂 Who else was rooting for the doll? #SquadGame #ACTIONPAPA""",ACTION PAPA SHOW,No captions available,😂😂😂😂; Ko bisa gitu ya 😮😮; Ko bisa gitu ya,False,
Video Game Reviews and Tips,Strategy & Walkthrough Guides,https://www.youtube.com/watch?v=txKHFcizDy8,"""Just leveled up my Shelly game to rank 1! 💥 Who else is ready to dominate the arena? Let’s go! #BrawlStars #JuuzouGaming""",Juuzou Gaming,Captions available,Thanks now i can get my shelly to rank 3😎😎; Thanks! Just reached negative trophies with this ❤; Uhh instructions taken too far I&#39;m now tier 5 Shelly 😢,False,
Video Game Reviews and Tips,eSports Highlights,https://www.youtube.com/watch?v=RNs129oykJg,"""These Fortnite clips had me rolling! 😂 Who else can relate to the struggle? Check it out! #Fortnite #Shorts""",TV Vlog,Captions available,Lol bro is so bad he just stopped and finally shot hin😂😂😂😂; So funny😂; This is why people quit Fortnite😂😂😂 I never did but I did get mad😂😂😂,False,
Video Game Reviews and Tips,eSports Highlights,https://www.youtube.com/watch?v=2GtGd50myeY,"""Ruler's kiting on Ashe is next-level! 😱 Can you believe those dodges? Who else is a fan of this insane gameplay? #LeagueOfLegends #LCK""",LoL Esports Moments,Captions available,"▶ Subscribe for more LoL Esports Moments: <a href=""https://bit.ly/3mgC1OS"">https://bit.ly/3mgC1OS</a>; Haha karma wall f",False,
Video Game Reviews and Tips,eSports Highlights,https://www.youtube.com/watch?v=TGrNc5iw1nU,"""Demon1 is on another level! 😱🔥 Who else is feeling that unmatched confidence? Let’s go! #VCT #Valorant""",VALORANT Champions Tour,Captions available,I am a valorant player ofc my device dies for no reason; Lemon1; demon1 is a paid actor,False,
Video Game Reviews and Tips,eSports Highlights,https://www.youtube.com/watch?v=NlepnRsC3mY,"""Did Mawkzy just miss an open net?! 😱 But wait for that epic comeback! What a legend! 🔥 #rocketleague #RLCS""",SusTanium,Captions available,💀; Bro how did he save that mawkzy is insane; mawkzy la legende,False,
Video Game Reviews and Tips,eSports Highlights,https://www.youtube.com/watch?v=aujx9N-NzoU,"""LOL, did you see that epic fail? 😂 Khabib's reaction says it all! What a wild moment in Worlds! #lolesports #fail""",Challenger in Reporting,Captions available,Secured the mind control; Fail? Are you stupid?,False,
Video Game Reviews and Tips,Retro Gaming,https://www.youtube.com/watch?v=fPO4BNaS_qw,"""Just watched this and I totally agree! 🎮✨ What’s your must-have tip for retro game stores? #retrogaming #gaming""",RadJunk,Captions available,Another thing is looking up prices from other stores to compare how much you can buy things from the customer right in front of you; Be sure to touch the bottom of your game discs so i know not to shop there....; Gostosa!,False,
Video Game Reviews and Tips,Retro Gaming,https://www.youtube.com/watch?v=lcfK3ujtNpw,"""OMG, the nostalgia is REAL! 🎮✨ Which retro console is your fave? Let’s talk classics! #RetroGaming #ASMR""",DKOldies.com,No captions available,"NES, SNES, N64, PS1, GAMECUBE, PS2 AND WII; Nah where tf the Sega Genesis; AUGgghhhGGHH it’s amazing",False,
Video Game Reviews and Tips,Retro Gaming,https://www.youtube.com/watch?v=t5r0VgFhp0M,"""Game night just leveled up! 🎲✨ What's your go-to board game? Let's hear your favorites! #GameNight #TheLandOfBoggs""",The Land Of Boggs,Captions available,🇨🇬⚔️; Aaaaaaa; 😂😂😂😂😂😂😂😂😂,False,
Video Game Reviews and Tips,Retro Gaming,https://www.youtube.com/watch?v=s_318yx-m64,"""Whoa, the WORLD’S HEAVIEST Game Boy?! 😳 Which retro game would you play on this beast? #gameboy #retrogaming""",Unpacked1,Captions available,Game man color; That is a game man; Worlds coolest* gameboy,False,
Video Game Reviews and Tips,Retro Gaming,https://www.youtube.com/watch?v=nHyj_QRwM2c,"""Just leveled up my GameBoy and it feels epic! 🎮✨ Who else is bringing back the nostalgia? #GameBoy #RetroGaming""",Unpacked1,Captions available,Thats some asmr right there; Game Man; A gameboy gots GTA?,False,
Animated Movies and Cartoons,Classic Cartoon Series,https://www.youtube.com/watch?v=8O3JsQkz-oc,"""Batman may be past his prime, but he’s still got the laughs! 😂 Who else is loving this throwback? #BatmanBeyond #animation""",Frame Order,Captions available,"Check out the full cartoon!<br><a href=""https://www.youtube.com/watch?v=HHVM5K4mylM"">https://www.youtube.com/watch?v=HHVM5K4mylM</a>; 😂😂😂😂😂😂😂😂😂😂😂; 😂😂😂😂😅🎉😂😂😂😂😂😂😂😂🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣",False,
Animated Movies and Cartoons,Classic Cartoon Series,https://www.youtube.com/watch?v=PpUG6G3omMs,"""Whoa, I had no idea Sinbad was such a game-changer for DreamWorks! 😲✨ Do you think 2D will ever make a comeback? #animation #DreamWorks""",HELLO WHO,Captions available,"Eris was the reason a whole generation is into goth girls; Rise of the Guardians, Sinbad, and Transformers One... Really great movies but didn&#39;t go so well at the box office.; 2D is something that i prefer even today and always. 3D never EVER impressed me like 2D. Except Toy Story.",False,
Animated Movies and Cartoons,Classic Cartoon Series,https://www.youtube.com/watch?v=tLZjL-dMH_g,"""OMG, you won’t believe what happens next! 😂 Don’t make this mistake, trust me! What’s your funniest fail? #animation #memes""",Skyworld Animation Studio,No captions available,"<a href=""https://www.youtube.com/watch?v=bHMuboXtLF0"">https://youtu.be/bHMuboXtLF0?feature=shared</a>; <a href=""https://www.youtube.com/shorts/skNd_E3bKp4"">https://youtube.com/shorts/skNd_E3bKp4?feature=shared</a>; <a href=""https://www.youtube.com/shorts/skNd_E3bKp4"">https://youtube.com/shorts/skNd_E3bKp4?feature=shared</a><br>😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂",False,
Animated Movies and Cartoons,Classic Cartoon Series,https://www.youtube.com/watch?v=v1sl9zcyKlA,"""Whoa, did Tom really go through that? 😱💔 This episode hits differently! What’s your take on this dark twist? #TomAndJerry #CartoonFeels""",Asadology,Captions available,Subscribe if you love tom and jerry 👍🏼💀😼; Im a kid i understand; For those who dont know:<br><br>Tom fell in love with a girl cat <br>And used all of his savings to buy her a ring and a car but she already had a love<br>Butch when tom noticed he got sad<br>And started to drink milk[alcohol]<br>And after 5 hours he got to a train tracks waiting for his death<br><br><br><br><br>This is actually not for kids because its commiting suicide,False,
Animated Movies and Cartoons,Classic Cartoon Series,https://www.youtube.com/watch?v=573H8TILOSA,"""Chingwinwin had me rolling! 😂 Who else couldn't stop laughing at this one? Check it out! #memes #shorts""",Rico Animations,No captions available,"😂😂😂; <a href=""https://www.youtube.com/shorts/GOZ59DlrHcg"">https://youtube.com/shorts/GOZ59DlrHcg?si=PFpHamJ_ZF8B-heY</a>; 😂😂😂😂😂",False,
Animated Movies and Cartoons,Modern Animated Films,https://www.youtube.com/watch?v=6BIFnvjpquk,"""Just watched 'The Chicken' and I'm still laughing! 😂🐔 What was your favorite moment? Check it out! #2DAnimation #ShortFilm""",The Dhepaas,No captions available,"I consider this the best and only animation every exist.<br>The sense of humor, the reality and etc. <br>This deserves a Oscar.; <a href=""https://www.youtube.com/watch?v=6BIFnvjpquk&amp;t=116"">1:56</a> <a href=""https://www.youtube.com/watch?v=6BIFnvjpquk&amp;t=116"">1:56</a> <a href=""https://www.youtube.com/watch?v=6BIFnvjpquk&amp;t=118"">1:58</a> <a href=""https://www.youtube.com/watch?v=6BIFnvjpquk&amp;t=118"">1:58</a> <a href=""https://www.youtube.com/watch?v=6BIFnvjpquk&amp;t=118"">1:58</a> <a href=""https://www.youtube.com/watch?v=6BIFnvjpquk&amp;t=120"">2:00</a> <a href=""https://www.youtube.com/watch?v=6BIFnvjpquk&amp;t=120"">2:00</a> <a href=""https://www.youtube.com/watch?v=6BIFnvjpquk&amp;t=120"">2:00</a> <a href=""https://www.youtube.com/watch?v=6BIFnvjpquk&amp;t=120"">2:00</a> <a href=""https://www.youtube.com/watch?v=6BIFnvjpquk&amp;t=122"">2:02</a> <a href=""https://www.youtube.com/watch?v=6BIFnvjpquk&amp;t=122"">2:02</a> <a href=""https://www.youtube.com/watch?v=6BIFnvjpquk&amp;t=122"">2:02</a> <a href=""https://www.youtube.com/watch?v=6BIFnvjpquk&amp;t=126"">2:06</a> <a href=""https://www.youtube.com/watch?v=6BIFnvjpquk&amp;t=126"">2:06</a> <a href=""https://www.youtube.com/watch?v=6BIFnvjpquk&amp;t=126"">2:06</a> <a href=""https://www.youtube.com/watch?v=6BIFnvjpquk&amp;t=126"">2:06</a> <a href=""https://www.youtube.com/watch?v=6BIFnvjpquk&amp;t=126"">2:06</a> <a href=""https://www.youtube.com/watch?v=6BIFnvjpquk&amp;t=128"">2:08</a> <a href=""https://www.youtube.com/watch?v=6BIFnvjpquk&amp;t=128"">2:08</a>; I&#39;m veg not affect my self",False,
